"Date","Price","Open","High","Low","Change %"
"Feb 05, 2009","1.4630","1.4459","1.4706","1.4370","1.18"
"Feb 04, 2009","1.4459","1.4435","1.4580","1.4326","0.17"
"Feb 03, 2009","1.4435","1.4212","1.4487","1.4157","1.58"
"Feb 02, 2009","1.4210","1.4342","1.4351","1.4054","-2.30"
"Jan 30, 2009","1.4545","1.4280","1.4545","1.4190","1.84"
"Jan 29, 2009","1.4282","1.4230","1.4414","1.4075","0.37"
"Jan 28, 2009","1.4229","1.4187","1.4352","1.4128","0.28"
"Jan 27, 2009","1.4189","1.3972","1.4244","1.3934","1.54"
"Jan 26, 2009","1.3974","1.3854","1.4063","1.3782","3.47"
"Jan 23, 2009","1.3506","1.3881","1.3885","1.3506","-2.70"
"Jan 22, 2009","1.3881","1.3880","1.3978","1.3692","0.01"
"Jan 21, 2009","1.3879","1.3877","1.4028","1.3623","0.01"
"Jan 20, 2009","1.3878","1.4426","1.4430","1.3815","-3.80"
"Jan 19, 2009","1.4426","1.4879","1.4911","1.4360","-1.58"
"Jan 16, 2009","1.4658","1.4671","1.4982","1.4658","-0.09"
"Jan 15, 2009","1.4671","1.4620","1.4680","1.4559","0.35"
"Jan 14, 2009","1.4620","1.4518","1.4710","1.4494","0.71"
"Jan 13, 2009","1.4517","1.4819","1.4821","1.4474","-2.04"
"Jan 12, 2009","1.4819","1.5081","1.5117","1.4805","-2.05"
"Jan 09, 2009","1.5129","1.5227","1.5351","1.5129","-0.64"
"Jan 08, 2009","1.5227","1.5071","1.5376","1.4985","1.00"
"Jan 07, 2009","1.5076","1.4913","1.5284","1.4807","1.10"
"Jan 06, 2009","1.4912","1.4718","1.4995","1.4506","1.31"
"Jan 05, 2009","1.4719","1.4529","1.4741","1.4433","2.36"
"Jan 02, 2009","1.4380","1.4734","1.4767","1.4380","-2.42"
"Jan 01, 2009","1.4736","1.4688","1.4814","1.4681","2.66"
